Asset_ID,Asset_Tag,Item_Class,Item_Family,Asset_Type,Manufacturer,Model,Serial_Number,Purchase_Date,Date_Received,Warranty_Years,Warranty_End_Date,Expected_Replacement_Year,Asset_Status,Asset_Condition,Assigned_User,Department_Owner,School_ID,School_Name,District_ID,District_Name,BOCES_Region,Location_Detail
80057751,14568286,Hardware,Endpoint,Laptop,HP,Latitude 5440,RE0K11RNFB,2026-02-17,2026-03-01,4,2030-02-17,2030,Deployed,Good,Evelyn Wilson,District IT,5170.0,Ridge Middle School,2124,JeffersonLewis_CSD_2124,Jefferson-Lewis BOCES,
80057752,57394365,Hardware,Endpoint,Laptop,HP,Latitude 5440,YTHX7N8N9O,2026-02-17,2026-03-13,4,2030-02-17,2030,Deployed,Good,Sophia Williams,District IT,5170.0,Ridge Middle School,2124,JeffersonLewis_CSD_2124,Jefferson-Lewis BOCES,
80057753,78277145,Hardware,Endpoint,Laptop,HP,Latitude 5440,AJIC25TFVQ,2026-02-17,2026-02-28,4,2030-02-17,2030,Deployed,Good,James Lopez,District IT,5170.0,Ridge Middle School,2124,JeffersonLewis_CSD_2124,Jefferson-Lewis BOCES,
80057754,76845441,Hardware,Endpoint,Laptop,HP,Latitude 5440,KS13RKNVB4,2026-02-17,2026-02-21,4,2030-02-17,2030,Deployed,Good,David Rodriguez,District IT,5170.0,Ridge Middle School,2124,JeffersonLewis_CSD_2124,Jefferson-Lewis BOCES,
80057755,65345890,Hardware,Endpoint,Laptop,HP,Latitude 5440,3K3BZ261MV,2026-02-17,2026-03-08,4,2030-02-17,2030,In Storage,Good,Ethan Jackson,School IT,5170.0,Ridge Middle School,2124,JeffersonLewis_CSD_2124,Jefferson-Lewis BOCES,
80057756,50405673,Hardware,Endpoint,Laptop,HP,Latitude 5440,KQ6ZJP0EHL,2026-02-17,2026-02-21,4,2030-02-17,2030,In Storage,Good,Scarlett Lopez,District IT,5170.0,Ridge Middle School,2124,JeffersonLewis_CSD_2124,Jefferson-Lewis BOCES,
80057757,20923391,Hardware,Endpoint,Laptop,HP,Latitude 5440,XO5WWA6Q3P,2026-02-17,2026-03-05,4,2030-02-17,2030,Deployed,Good,Ella Williams,District IT,5170.0,Ridge Middle School,2124,JeffersonLewis_CSD_2124,Jefferson-Lewis BOCES,
80057758,96947221,Hardware,Endpoint,Laptop,HP,Latitude 5440,DLQ2OW9E8L,2026-02-17,2026-03-09,4,2030-02-17,2030,Deployed,Good,Logan Johnson,School IT,5170.0,Ridge Middle School,2124,JeffersonLewis_CSD_2124,Jefferson-Lewis BOCES,
80057759,21031662,Hardware,Endpoint,Laptop,HP,Latitude 5440,16BAUOQAAQ,2026-02-17,2026-03-14,4,2030-02-17,2030,Deployed,Good,Chloe Smith,School IT,5170.0,Ridge Middle School,2124,JeffersonLewis_CSD_2124,Jefferson-Lewis BOCES,
80057760,58264429,Hardware,Endpoint,Laptop,HP,Latitude 5440,FTJKAE8DTB,2026-02-17,2026-03-01,4,2030-02-17,2030,Deployed,Good,Evelyn Garcia,District IT,5170.0,Ridge Middle School,2124,JeffersonLewis_CSD_2124,Jefferson-Lewis BOCES,
80057761,35239173,Hardware,Endpoint,Laptop,HP,Latitude 5440,KLPY9X0G1X,2026-02-17,2026-03-03,4,2030-02-17,2030,Deployed,Good,Liam Johnson,School IT,5170.0,Ridge Middle School,2124,JeffersonLewis_CSD_2124,Jefferson-Lewis BOCES,
80057762,66506596,Hardware,Endpoint,Laptop,HP,Latitude 5440,Y4PCD2025R,2026-02-17,2026-03-10,4,2030-02-17,2030,In Storage,Good,Harper Lopez,District IT,5170.0,Ridge Middle School,2124,JeffersonLewis_CSD_2124,Jefferson-Lewis BOCES,
80057763,84512589,Hardware,Endpoint,Laptop,HP,Latitude 5440,D6CP8ZF2T6,2026-02-17,2026-03-14,4,2030-02-17,2030,Deployed,Good,Carter Martinez,District IT,5170.0,Ridge Middle School,2124,JeffersonLewis_CSD_2124,Jefferson-Lewis BOCES,
80057764,75404264,Hardware,Endpoint,Laptop,HP,Latitude 5440,QJP1GMEG06,2026-02-17,2026-02-28,4,2030-02-17,2030,Pending Deployment,Good,Chloe Taylor,District IT,5170.0,Ridge Middle School,2124,JeffersonLewis_CSD_2124,Jefferson-Lewis BOCES,
80057765,24394541,Hardware,Endpoint,Laptop,HP,Latitude 5440,NSZEOQPGKE,2026-02-17,2026-02-20,4,2030-02-17,2030,Deployed,Good,Scarlett Johnson,School IT,5170.0,Ridge Middle School,2124,JeffersonLewis_CSD_2124,Jefferson-Lewis BOCES,
80057766,87010128,Hardware,Endpoint,Laptop,HP,Latitude 5440,DF1AWDZFPQ,2026-02-17,2026-02-24,4,2030-02-17,2030,Deployed,Fair,,School IT,5170.0,Ridge Middle School,2124,JeffersonLewis_CSD_2124,Jefferson-Lewis BOCES,
80057767,44086275,Hardware,Endpoint,Laptop,HP,Latitude 5440,MKN1J0F31R,2026-02-17,2026-03-08,4,2030-02-17,2030,Deployed,Good,James Lopez,District IT,5170.0,Ridge Middle School,2124,JeffersonLewis_CSD_2124,Jefferson-Lewis BOCES,
80057768,63896226,Hardware,Endpoint,Laptop,HP,Latitude 5440,HUL34IRYLC,2026-02-17,2026-03-11,4,2030-02-17,2030,Deployed,Good,Harper Brown,District IT,5170.0,Ridge Middle School,2124,JeffersonLewis_CSD_2124,Jefferson-Lewis BOCES,
80057769,60093706,Hardware,Endpoint,Laptop,HP,Latitude 5440,MSJW7M1T33,2026-02-17,2026-02-20,4,2030-02-17,2030,Deployed,Good,Zoey Smith,District IT,5170.0,Ridge Middle School,2124,JeffersonLewis_CSD_2124,Jefferson-Lewis BOCES,
80057770,66874196,Hardware,Endpoint,Laptop,HP,Latitude 5440,PXH420ZE56,2026-02-17,2026-02-27,4,2030-02-17,2030,Deployed,Fair,Liam Moore,District IT,5170.0,Ridge Middle School,2124,JeffersonLewis_CSD_2124,Jefferson-Lewis BOCES,
