Asset_ID,Asset_Tag,Item_Class,Item_Family,Asset_Type,Manufacturer,Model,Serial_Number,Purchase_Date,Date_Received,Warranty_Years,Warranty_End_Date,Expected_Replacement_Year,Asset_Status,Asset_Condition,Assigned_User,Department_Owner,School_ID,School_Name,District_ID,District_Name,BOCES_Region,Location_Detail
80067398,69824024,Hardware,Networking,Wireless Access Point,Cisco,Catalyst 9130AX,28N0Z3BEX9,2026-04-25,2026-05-06,5,2031-04-25,2031,Deployed,Good,Sebastian Martin,District IT,5189.0,Central Admin Building,2130,Erie_CSD_2130,Erie 1 BOCES,
80067399,32277637,Hardware,Networking,Wireless Access Point,Cisco,Catalyst 9130AX,FAXP08JKCP,2026-04-25,2026-05-17,5,2031-04-25,2031,Deployed,Good,Isabella Wilson,School IT,5189.0,Central Admin Building,2130,Erie_CSD_2130,Erie 1 BOCES,
80067400,69248835,Hardware,Networking,Wireless Access Point,Cisco,Catalyst 9130AX,7TG3M9KHOV,2026-04-25,2026-05-03,5,2031-04-25,2031,Deployed,Good,Lily Gonzalez,School IT,5189.0,Central Admin Building,2130,Erie_CSD_2130,Erie 1 BOCES,
80067401,78969254,Hardware,Networking,Wireless Access Point,Cisco,Catalyst 9130AX,7BMPF87X60,2026-04-25,2026-05-19,5,2031-04-25,2031,Deployed,Fair,Lucas Gonzalez,District IT,5189.0,Central Admin Building,2130,Erie_CSD_2130,Erie 1 BOCES,
80067402,82260913,Hardware,Networking,Wireless Access Point,Cisco,Catalyst 9130AX,5PN9PAJ3S8,2026-04-25,2026-05-19,5,2031-04-25,2031,Deployed,Poor,,School IT,5189.0,Central Admin Building,2130,Erie_CSD_2130,Erie 1 BOCES,
80067403,27271445,Hardware,Networking,Wireless Access Point,Cisco,Catalyst 9130AX,BDHQFVORLM,2026-04-25,2026-04-29,5,2031-04-25,2031,In Storage,Good,Wyatt Miller,District IT,5189.0,Central Admin Building,2130,Erie_CSD_2130,Erie 1 BOCES,
80067404,65410001,Hardware,Networking,Wireless Access Point,Cisco,Catalyst 9130AX,PQVCNDA5RP,2026-04-25,2026-05-13,5,2031-04-25,2031,Pending Deployment,Good,Mason Lopez,School IT,5189.0,Central Admin Building,2130,Erie_CSD_2130,Erie 1 BOCES,
80067405,61142642,Hardware,Networking,Wireless Access Point,Cisco,Catalyst 9130AX,46G6T36VB9,2026-04-25,2026-05-08,5,2031-04-25,2031,Deployed,Good,Mia Jackson,School IT,5189.0,Central Admin Building,2130,Erie_CSD_2130,Erie 1 BOCES,
80067406,19888672,Hardware,Networking,Wireless Access Point,Cisco,Catalyst 9130AX,2UR4LJVU9G,2026-04-25,2026-05-09,5,2031-04-25,2031,Deployed,Good,Jack Gonzalez,District IT,5189.0,Central Admin Building,2130,Erie_CSD_2130,Erie 1 BOCES,
80067407,53757962,Hardware,Networking,Wireless Access Point,Cisco,Catalyst 9130AX,QDJSH6MFWT,2026-04-25,2026-05-19,5,2031-04-25,2031,Deployed,Fair,Grace Moore,District IT,5189.0,Central Admin Building,2130,Erie_CSD_2130,Erie 1 BOCES,
80067408,90808051,Hardware,Networking,Wireless Access Point,Cisco,Catalyst 9130AX,8XOZLF7YE8,2026-04-25,2026-05-15,5,2031-04-25,2031,Deployed,Fair,Evelyn Smith,District IT,5189.0,Central Admin Building,2130,Erie_CSD_2130,Erie 1 BOCES,
80067409,78721724,Hardware,Networking,Wireless Access Point,Cisco,Catalyst 9130AX,T8SW8JOWDC,2026-04-25,2026-04-29,5,2031-04-25,2031,Deployed,Good,Sophia Anderson,District IT,5189.0,Central Admin Building,2130,Erie_CSD_2130,Erie 1 BOCES,
80067410,83687802,Hardware,Networking,Wireless Access Point,Cisco,Catalyst 9130AX,JQ1R68E1I7,2026-04-25,2026-05-05,5,2031-04-25,2031,Pending Deployment,Good,Isabella Johnson,School IT,5189.0,Central Admin Building,2130,Erie_CSD_2130,Erie 1 BOCES,
80067411,40879138,Hardware,Networking,Wireless Access Point,Cisco,Catalyst 9130AX,AYJQGEXE0Y,2026-04-25,2026-05-05,5,2031-04-25,2031,Deployed,Good,,District IT,5189.0,Central Admin Building,2130,Erie_CSD_2130,Erie 1 BOCES,
80067412,55843489,Hardware,Networking,Wireless Access Point,Cisco,Catalyst 9130AX,EQPZ6D1EER,2026-04-25,2026-05-16,5,2031-04-25,2031,Deployed,Good,Henry Brown,District IT,5189.0,Central Admin Building,2130,Erie_CSD_2130,Erie 1 BOCES,
80067413,56887572,Hardware,Networking,Wireless Access Point,Cisco,Catalyst 9130AX,NIF63NY6L4,2026-04-25,2026-05-04,5,2031-04-25,2031,Deployed,Good,Olivia Jones,School IT,5189.0,Central Admin Building,2130,Erie_CSD_2130,Erie 1 BOCES,
80067414,87879240,Hardware,Networking,Wireless Access Point,Cisco,Catalyst 9130AX,RPXHF7LW25,2026-04-25,2026-05-15,5,2031-04-25,2031,Deployed,Good,,School IT,5189.0,Central Admin Building,2130,Erie_CSD_2130,Erie 1 BOCES,
80067415,52154677,Hardware,Networking,Wireless Access Point,Cisco,Catalyst 9130AX,4CLREGR40A,2026-04-25,2026-05-19,5,2031-04-25,2031,Deployed,Good,Lucas Garcia,School IT,5189.0,Central Admin Building,2130,Erie_CSD_2130,Erie 1 BOCES,
80067416,59339789,Hardware,Networking,Wireless Access Point,Cisco,Catalyst 9130AX,AS6VZXCT2W,2026-04-25,2026-05-09,5,2031-04-25,2031,Deployed,Good,Amelia Jones,District IT,5189.0,Central Admin Building,2130,Erie_CSD_2130,Erie 1 BOCES,
80067417,72867195,Hardware,Networking,Wireless Access Point,Cisco,Catalyst 9130AX,FT4NJHGV1G,2026-04-25,2026-05-20,5,2031-04-25,2031,Deployed,Fair,Grace Martin,School IT,5189.0,Central Admin Building,2130,Erie_CSD_2130,Erie 1 BOCES,
80067418,34982020,Hardware,Networking,Wireless Access Point,Cisco,Catalyst 9130AX,L7BXI21S28,2026-04-25,2026-05-04,5,2031-04-25,2031,Pending Deployment,Fair,Noah Johnson,School IT,5189.0,Central Admin Building,2130,Erie_CSD_2130,Erie 1 BOCES,
80067419,26596085,Hardware,Networking,Wireless Access Point,Cisco,Catalyst 9130AX,74SK8KTFNL,2026-04-25,2026-05-07,5,2031-04-25,2031,Deployed,Good,Jack Moore,District IT,5189.0,Central Admin Building,2130,Erie_CSD_2130,Erie 1 BOCES,
80067420,39359493,Hardware,Networking,Wireless Access Point,Cisco,Catalyst 9130AX,HAWR0BWXDE,2026-04-25,2026-05-17,5,2031-04-25,2031,Deployed,Good,Lucas Garcia,District IT,5189.0,Central Admin Building,2130,Erie_CSD_2130,Erie 1 BOCES,
80067421,58025539,Hardware,Networking,Wireless Access Point,Cisco,Catalyst 9130AX,KGN9M4Y5BI,2026-04-25,2026-05-08,5,2031-04-25,2031,Pending Deployment,Good,Wyatt Anderson,District IT,5189.0,Central Admin Building,2130,Erie_CSD_2130,Erie 1 BOCES,
80067422,72816539,Hardware,Networking,Wireless Access Point,Cisco,Catalyst 9130AX,KG4KGNB0QW,2026-04-25,2026-05-19,5,2031-04-25,2031,Deployed,Good,David Hernandez,School IT,5189.0,Central Admin Building,2130,Erie_CSD_2130,Erie 1 BOCES,
80067423,94010274,Hardware,Networking,Wireless Access Point,Cisco,Catalyst 9130AX,6N1773ZLVI,2026-04-25,2026-05-04,5,2031-04-25,2031,Deployed,Good,Olivia Jones,School IT,5189.0,Central Admin Building,2130,Erie_CSD_2130,Erie 1 BOCES,
80067424,51838796,Hardware,Networking,Wireless Access Point,Cisco,Catalyst 9130AX,LDZKV03ONO,2026-04-25,2026-05-05,5,2031-04-25,2031,Deployed,Good,Olivia Taylor,District IT,5189.0,Central Admin Building,2130,Erie_CSD_2130,Erie 1 BOCES,
80067425,96547157,Hardware,Networking,Wireless Access Point,Cisco,Catalyst 9130AX,QSDKNPLMWH,2026-04-25,2026-05-02,5,2031-04-25,2031,Deployed,Good,Olivia Jones,District IT,5189.0,Central Admin Building,2130,Erie_CSD_2130,Erie 1 BOCES,
80067426,38696363,Hardware,Networking,Wireless Access Point,Cisco,Catalyst 9130AX,8LGZMZ15EL,2026-04-25,2026-05-20,5,2031-04-25,2031,In Storage,Good,Sebastian Jones,School IT,5189.0,Central Admin Building,2130,Erie_CSD_2130,Erie 1 BOCES,
80067427,32044768,Hardware,Networking,Wireless Access Point,Cisco,Catalyst 9130AX,ZXEQGKTCU8,2026-04-25,2026-05-16,5,2031-04-25,2031,Deployed,Fair,Lily Wilson,District IT,5189.0,Central Admin Building,2130,Erie_CSD_2130,Erie 1 BOCES,
80067428,22825250,Hardware,Networking,Wireless Access Point,Cisco,Catalyst 9130AX,TZ22EKRZC4,2026-04-25,2026-05-18,5,2031-04-25,2031,Deployed,Fair,,School IT,5189.0,Central Admin Building,2130,Erie_CSD_2130,Erie 1 BOCES,
80067429,69258962,Hardware,Networking,Wireless Access Point,Cisco,Catalyst 9130AX,WGA1IMAMYP,2026-04-25,2026-05-19,5,2031-04-25,2031,In Storage,Fair,Mason Taylor,School IT,5189.0,Central Admin Building,2130,Erie_CSD_2130,Erie 1 BOCES,
80067430,98404379,Hardware,Networking,Wireless Access Point,Cisco,Catalyst 9130AX,10XVPX5X1I,2026-04-25,2026-05-12,5,2031-04-25,2031,Deployed,Good,Olivia Thomas,District IT,5189.0,Central Admin Building,2130,Erie_CSD_2130,Erie 1 BOCES,
80067431,37373036,Hardware,Networking,Wireless Access Point,Cisco,Catalyst 9130AX,SDNI46UK4E,2026-04-25,2026-05-02,5,2031-04-25,2031,Deployed,Good,Lily Gonzalez,District IT,5189.0,Central Admin Building,2130,Erie_CSD_2130,Erie 1 BOCES,
80067432,22414087,Hardware,Networking,Wireless Access Point,Cisco,Catalyst 9130AX,XRDW9SBCQA,2026-04-25,2026-05-11,5,2031-04-25,2031,Deployed,Good,Chloe Williams,District IT,5189.0,Central Admin Building,2130,Erie_CSD_2130,Erie 1 BOCES,
