Asset_ID,Asset_Tag,Item_Class,Item_Family,Asset_Type,Manufacturer,Model,Serial_Number,Purchase_Date,Date_Received,Warranty_Years,Warranty_End_Date,Expected_Replacement_Year,Asset_Status,Asset_Condition,Assigned_User,Department_Owner,School_ID,School_Name,District_ID,District_Name,BOCES_Region,Location_Detail
80053492,22513145,Hardware,Infrastructure,Server,Dell,PowerEdge R650,ZG4GKOW4H9,2026-01-11,2026-01-14,3,2029-01-11,2029,Deployed,Good,Mia Brown,School IT,5128.0,East Admin Building,2110,DutchessUlster_CSD_2110,Dutchess-Ulster BOCES,
80053493,11942232,Hardware,Infrastructure,Server,Dell,PowerEdge R650,LCTO8X2NKB,2026-01-11,2026-01-16,3,2029-01-11,2029,Deployed,Good,Amelia Gonzalez,School IT,5128.0,East Admin Building,2110,DutchessUlster_CSD_2110,Dutchess-Ulster BOCES,
80053494,57893705,Hardware,Infrastructure,Server,Dell,PowerEdge R650,Z06KSHTIFX,2026-01-11,2026-01-26,3,2029-01-11,2029,Deployed,Good,Zoey Williams,District IT,5128.0,East Admin Building,2110,DutchessUlster_CSD_2110,Dutchess-Ulster BOCES,
80053495,75262298,Hardware,Infrastructure,Server,Dell,PowerEdge R650,C4Q8WL5MVP,2026-01-11,2026-01-29,3,2029-01-11,2029,Deployed,Good,Wyatt Taylor,District IT,5128.0,East Admin Building,2110,DutchessUlster_CSD_2110,Dutchess-Ulster BOCES,
80053496,29062025,Hardware,Infrastructure,Server,Dell,PowerEdge R650,YYBNSGWCES,2026-01-11,2026-01-23,3,2029-01-11,2029,Deployed,Good,Isabella Miller,School IT,5128.0,East Admin Building,2110,DutchessUlster_CSD_2110,Dutchess-Ulster BOCES,
80053497,51443202,Hardware,Infrastructure,Server,Dell,PowerEdge R650,W5RXXFO2UY,2026-01-11,2026-01-19,3,2029-01-11,2029,Deployed,Good,Evelyn Johnson,School IT,5128.0,East Admin Building,2110,DutchessUlster_CSD_2110,Dutchess-Ulster BOCES,
80053498,33505345,Hardware,Infrastructure,Server,Dell,PowerEdge R650,LEUC8OSHYT,2026-01-11,2026-02-04,3,2029-01-11,2029,In Storage,Good,Amelia Hernandez,School IT,5128.0,East Admin Building,2110,DutchessUlster_CSD_2110,Dutchess-Ulster BOCES,
80053499,67384745,Hardware,Infrastructure,Server,Dell,PowerEdge R650,SL3KUVN4VA,2026-01-11,2026-01-31,3,2029-01-11,2029,Deployed,Good,Logan Smith,School IT,5128.0,East Admin Building,2110,DutchessUlster_CSD_2110,Dutchess-Ulster BOCES,
80053500,76676597,Hardware,Networking,Wireless Access Point,Cisco,Catalyst 9130AX,YABSE1IWER,2026-01-11,2026-02-03,5,2031-01-11,2031,Deployed,Good,Emma Williams,School IT,5128.0,East Admin Building,2110,DutchessUlster_CSD_2110,Dutchess-Ulster BOCES,
80053501,75916330,Hardware,Networking,Wireless Access Point,Cisco,Catalyst 9130AX,BQR7MF6FC5,2026-01-11,2026-02-03,5,2031-01-11,2031,Deployed,Fair,,School IT,5128.0,East Admin Building,2110,DutchessUlster_CSD_2110,Dutchess-Ulster BOCES,
80053502,90726463,Hardware,Networking,Wireless Access Point,Cisco,Catalyst 9130AX,HTLZ3FLAS3,2026-01-11,2026-01-25,5,2031-01-11,2031,Deployed,Good,Mia Moore,School IT,5128.0,East Admin Building,2110,DutchessUlster_CSD_2110,Dutchess-Ulster BOCES,
